PrintNum,Slide,Row,RowPos,Capture,AtomizerFlow,ExhaustFlow,ExhaustFlowDelta,SheathFlow,Speed,NumObjects,RSS,Roughness,NormalizedRoughness,AvgWidth,WidthSD,NormalizedWidthSD,MinWidth,NormalizedMinWidth,Ten90Range,AvgCurv,Error,QualityScore1,QualityScore2,QualityScore3,Pass
1,1,1,1,4,640,670,-30,80,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,2,5,640,670,-30,80,1.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,1,3,6,640,670,-30,80,2.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,1,1,4,7,640,670,-30,80,3.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,1,1,5,8,640,670,-30,80,4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,1,1,6,9,640,670,-30,80,5.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,1,1,7,10,640,670,-30,80,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1,1,8,11,640,670,-30,80,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1,2,1,12,645,670,-25,80,0.5,1,7.67615797971911,4.39667558185198,0.230851701195092,19.0454545454545,2.89006160857444,0.151745478254505,10,0.525059665871122,6,0.0484931179576051,0,43.1661671084722,57.5354219855502,36.3031329783253,0
10,1,2,2,13,645,670,-25,80,1.5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,1,2,3,14,645,670,-25,80,2.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,1,2,4,15,645,670,-25,80,3.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,1,2,5,16,645,670,-25,80,4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,1,2,6,17,645,670,-25,80,5.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,1,2,7,18,645,670,-25,80,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,1,2,8,19,645,670,-25,80,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,1,3,1,20,650,670,-20,80,0.5,1,5.56120173536104,4.14507815836928,0.103524492035297,40.0395894428152,2.41448291630338,0.0603023894576082,34,0.849159556157762,6,0.0363911955739436,0,53.7892827401478,63.1546584210075,44.7319876315113,1
18,1,3,2,21,650,670,-20,80,1.5,1,6.11475299824114,3.82970371580723,0.121410235869435,31.5434995112414,2.36721996002053,0.0750462059283214,26,0.82425857634262,6,0.0338241341646836,0,54.3356226212421,64.167888745037,46.2518331175555,1
19,1,3,3,22,650,670,-20,80,2.5,1,6.81930842922987,3.8436665395799,0.136008400753714,28.2605083088954,2.50028351168547,0.0884727013525964,20,0.707701354179277,7,0.0415269919659865,0,49.8128689493769,61.1567243057196,41.7350864585794,0
20,1,3,4,23,650,670,-20,80,3.5,1,8.4941088692036,4.66990307960893,0.183000166648405,25.5185728250244,2.80836980204903,0.110051993162213,17,0.666181456015016,7,0.0474318424672018,0,45.7814791082884,58.1614865041026,37.2422297561539,0
